Street Details,Floor Level,Gate Level,Road Centre,Latitude,Longitude
2 Avondale Avenue EAST LISMORE,11.4,10.88,11.09,-28.8179444,153.284279
3 Avondale Avenue EAST LISMORE,13.68,10.77,11.06,-28.8184645,153.2846474
4 Avondale Avenue EAST LISMORE,12.91,10.8,11.08,-28.8179437,153.284527
10 Avondale Avenue EAST LISMORE,12.69,10.72,10.97,-28.8180382,153.2851653
11 Avondale Avenue EAST LISMORE,13.14,10.71,10.99,-28.8184231,153.2851659
12 Avondale Avenue EAST LISMORE,12.64,10.73,10.99,-28.818071,153.2853406
15 Avondale Avenue EAST LISMORE,12.87,10.69,10.96,-28.8184804,153.2853521
16 Avondale Avenue EAST LISMORE,12.9,10.78,10.96,-28.8180739,153.2855218
17 Avondale Avenue EAST LISMORE,12.81,10.72,10.96,-28.818495,153.2855669
18 Avondale Avenue EAST LISMORE,12.83,10.78,10.96,-28.8181362,153.2857213
19 Avondale Avenue EAST LISMORE,12.84,10.66,10.91,-28.8185379,153.2857641
22 Avondale Avenue EAST LISMORE,12.72,10.57,11.05,-28.818199,153.2862958
24 Avondale Avenue EAST LISMORE,13.01,10.71,11.24,-28.8182409,153.2864931
2 Avondale Avenue EAST LISMORE,11.4,10.88,11.09,-28.8179444,153.284279
3 Avondale Avenue EAST LISMORE,13.68,10.77,11.06,-28.8184645,153.2846474
4 Avondale Avenue EAST LISMORE,12.91,10.8,11.08,-28.8179437,153.284527
10 Avondale Avenue EAST LISMORE,12.69,10.72,10.97,-28.8180382,153.2851653
11 Avondale Avenue EAST LISMORE,13.14,10.71,10.99,-28.8184231,153.2851659
12 Avondale Avenue EAST LISMORE,12.64,10.73,10.99,-28.818071,153.2853406
15 Avondale Avenue EAST LISMORE,12.87,10.69,10.96,-28.8184804,153.2853521
16 Avondale Avenue EAST LISMORE,12.9,10.78,10.96,-28.8180739,153.2855218
17 Avondale Avenue EAST LISMORE,12.81,10.72,10.96,-28.818495,153.2855669
18 Avondale Avenue EAST LISMORE,12.83,10.78,10.96,-28.8181362,153.2857213
19 Avondale Avenue EAST LISMORE,12.84,10.66,10.91,-28.8185379,153.2857641
22 Avondale Avenue EAST LISMORE,12.72,10.57,11.05,-28.818199,153.2862958
24 Avondale Avenue EAST LISMORE,13.01,10.71,11.24,-28.8182409,153.2864931
33 Avondale Avenue EAST LISMORE,12.59,10.98,11.24,-28.8186809,153.2863971
35 Avondale Avenue EAST LISMORE,13.13,11.97,12.01,-28.8187153,153.2865902
3 Avondale Avenue EAST LISMORE,13.37,10.75,10.94,-28.8184645,153.2846474
3 Avondale Avenue EAST LISMORE,13.37,10.75,10.94,-28.8184645,153.2846474
3 Avondale Avenue EAST LISMORE,13.37,10.75,10.94,-28.8184645,153.2846474
3 Avondale Avenue EAST LISMORE,13.37,10.75,10.94,-28.8184645,153.2846474
3 Avondale Avenue EAST LISMORE,13.37,10.75,10.94,-28.8184645,153.2846474
17 Ballina Road EAST LISMORE,12.29,8.56,8.63,-28.8133164,153.2719841
21 Ballina Road EAST LISMORE,10.86,7.79,7.96,-28.813379,153.2723249
29 Ballina Road EAST LISMORE,10.67,10.3,10.37,-28.8134769,153.2729827
31 Ballina Road EAST LISMORE,10.67,10.3,10.37,-28.8135836,153.2732623
33 Ballina Road EAST LISMORE,10.67,10.3,10.37,-28.8134769,153.2729827
37 Ballina Road EAST LISMORE,10.1,9.79,10.31,-28.8136297,153.2736516
125 Ballina Road EAST LISMORE,13.51,11.9,10.65,-28.814821,153.2820097
127 Ballina Road EAST LISMORE,13.3,11.13,10.72,-28.8148602,153.2821939
128 Ballina Road LISMORE,11.84,9.8,10.03,-28.8152013,153.2877656
129 Ballina Road EAST LISMORE,12.73,10.92,10.66,-28.8148572,153.2823781
131 Ballina Road EAST LISMORE,13.63,10.73,10.55,-28.8149709,153.2825163
133 Ballina Road EAST LISMORE,12.54,10.61,10.5,-28.8149257,153.2827004
135 Ballina Road EAST LISMORE,12.9,10.53,10.42,-28.8149551,153.2828386
137 Ballina Road EAST LISMORE,13.04,10.38,10.32,-28.8149844,153.2829767
139 Ballina Road EAST LISMORE,12.51,10.26,10.25,-28.8149814,153.2831609
141 Ballina Road EAST LISMORE,12.45,10.11,10.18,-28.8150108,153.2832991
143 Ballina Road EAST LISMORE,12.34,9.95,10.1,-28.8150499,153.2834832
145 Ballina Road EAST LISMORE,13.04,9.86,10.04,-28.8151053,153.2836444
147 Ballina Road EAST LISMORE,12.93,9.86,10.03,-28.8151184,153.2838056
149 Ballina Road EAST LISMORE,12.12,9.82,10,-28.8151154,153.2839898
151 Ballina Road EAST LISMORE,12.38,9.72,10.09,-28.8151753,153.2843495
153 Ballina Road EAST LISMORE,12.99,9.87,10.1,-28.8152413,153.2844783
155 Ballina Road EAST LISMORE,12,9.83,10.1,-28.815221,153.2845951
157 Ballina Road EAST LISMORE,11.98,9.79,10.14,-28.8152299,153.2847265
159 Ballina Road EAST LISMORE,13.03,9.8,10.16,-28.8152827,153.2848296
163 Ballina Road EAST LISMORE,12.15,9.85,10.15,-28.8152984,153.2850488
165 Ballina Road EAST LISMORE,11.67,9.77,10.09,-28.815366,153.2854626
33 Avondale Avenue EAST LISMORE,12.59,10.98,11.24,-28.8186809,153.2863971
35 Avondale Avenue EAST LISMORE,13.13,11.97,12.01,-28.8187153,153.2865902
3 Avondale Avenue EAST LISMORE,13.37,10.75,10.94,-28.8184645,153.2846474
3 Avondale Avenue EAST LISMORE,13.37,10.75,10.94,-28.8184645,153.2846474
3 Avondale Avenue EAST LISMORE,13.37,10.75,10.94,-28.8184645,153.2846474
3 Avondale Avenue EAST LISMORE,13.37,10.75,10.94,-28.8184645,153.2846474
3 Avondale Avenue EAST LISMORE,13.37,10.75,10.94,-28.8184645,153.2846474
17 Ballina Road EAST LISMORE,12.29,8.56,8.63,-28.8133164,153.2719841
21 Ballina Road EAST LISMORE,10.86,7.79,7.96,-28.813379,153.2723249
29 Ballina Road EAST LISMORE,10.67,10.3,10.37,-28.8134769,153.2729827
